run,flow_thresh,move_thresh,count_class0,count_class1,count_class2,count_class3,count_class4,count_class5,count_class6,count_class7,prop_class0,prop_class1,prop_class2,prop_class3,prop_class4,prop_class5,prop_class6,prop_class7
2023-11-22--06-10-55--3,1.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,1.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,1.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,1.0,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,1.0,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,1.0,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,0.8,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,0.8,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,0.8,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,0.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,0.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--3,0.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,1.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,1.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,1.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,1.0,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,1.0,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,1.0,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,0.8,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,0.8,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,0.8,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,0.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,0.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--30,0.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,1.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,1.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,1.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,1.0,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,1.0,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,1.0,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,0.8,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,0.8,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,0.8,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,0.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,0.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--31,0.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,1.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,1.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,1.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,1.0,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,1.0,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,1.0,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,0.8,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,0.8,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,0.8,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,0.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,0.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--32,0.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,1.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,1.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,1.5,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,1.0,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,1.0,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,1.0,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,0.8,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,0.8,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,0.8,150000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,0.5,250000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-22--06-10-55--33,0.5,200000.0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
